timestamp,wind speed
"2019-07-09",1.6374
"2019-07-10",1.3551
"2019-07-11",1.8714
"2019-07-12",1.9937
"2019-07-13",1.619
"2019-07-14",2.2039
"2019-07-15",2.1992
"2019-07-16",2.2509
"2019-07-17",2.3812
"2019-07-18",2.1675
"2019-07-19",1.9542
"2019-07-20",1.1173
"2019-07-21",0.507
"2019-07-22",0.7091
"2019-07-23",0.4713
"2019-07-24",0.2362
"2019-07-25",0.5677
"2019-07-26",0.6668
"2019-07-27",1.101
"2019-07-28",0.9361
"2019-07-29",0.8165
"2019-07-30",1.1571
"2019-07-31",1.4234
"2019-08-01",2.2956
"2019-08-02",2.2927
"2019-08-03",2.2378
"2019-08-04",1.7444
"2019-08-05",1.6419
"2019-08-06",1.5145
"2019-08-07",2.0983
"2019-08-08",1.9433
"2019-08-09",1.5775
"2019-08-10",1.5628
"2019-08-11",1.3461
"2019-08-12",1.7845
"2019-08-13",1.8725
"2019-08-14",1.7912
"2019-08-15",1.776
"2019-08-16",1.87
"2019-08-17",1.3992
"2019-08-18",1.5426
"2019-08-19",1.683
"2019-08-20",2.1233
"2019-08-21",1.8852
"2019-08-22",1.5079
"2019-08-23",1.4797
"2019-08-24",2.2808
"2019-08-25",2.365
"2019-08-26",2.1264
"2019-08-27",1.282
"2019-08-28",1.0114
"2019-08-29",1.6714
"2019-08-30",2.0642
"2019-08-31",1.0369
"2019-09-01",0.6953
"2019-09-02",1.7989
"2019-09-03",1.873
"2019-09-04",1.7853
"2019-09-05",1.4385
"2019-09-06",1.4577
"2019-09-07",1.3519
"2019-09-08",1.9291
"2019-09-09",1.8825
"2019-09-10",1.9293
"2019-09-11",2.0446
"2019-09-12",1.9921
"2019-09-13",2.2015
"2019-09-14",2.1258
"2019-09-15",2.2801
"2019-09-16",2.3306
"2019-09-17",2.14
"2019-09-18",1.8194
"2019-09-19",2.3462
"2019-09-20",2.2185
"2019-09-21",1.9501
"2019-09-22",2.0028
"2019-09-23",2.2498
"2019-09-24",1.9108
"2019-09-25",2.0556
"2019-09-26",2.1529
"2019-09-27",2.3923
"2019-09-28",1.9201
"2019-09-29",2.3713
"2019-09-30",2.0587
"2019-10-01",1.6646
"2019-10-02",2.2474
"2019-10-03",3.0501
"2019-10-04",2.8054
"2019-10-05",2.2071
"2019-10-06",2.4208
"2019-10-07",2.3195
"2019-10-08",2.2769
"2019-10-09",2.1625
"2019-10-10",2.333
"2019-10-11",2.6986
"2019-10-12",2.4393
"2019-10-13",1.9766
"2019-10-14",2.0101
"2019-10-15",2.1422
"2019-10-16",2.0815
"2019-10-17",1.2343
"2019-10-18",1.0729
"2019-10-19",1.5341
"2019-10-20",1.6366
"2019-10-21",1.7437
"2019-10-22",1.7597
"2019-10-23",1.8167
"2019-10-24",1.9362
"2019-10-25",2.1298
"2019-10-26",1.6159
"2019-10-27",1.8228
"2019-10-28",1.5558
"2019-10-29",1.3076
"2019-10-30",1.4511
"2019-10-31",1.1429
"2019-11-01",1.4472
"2019-11-02",1.4967
"2019-11-03",1.7162
"2019-11-04",2.0068
"2019-11-05",1.7746
"2019-11-06",1.3584
"2019-11-07",1.6146
"2019-11-08",1.8371
"2019-11-09",2.2468
"2019-11-10",2.3233
"2019-11-11",2.2371
"2019-11-12",1.828
"2019-11-13",1.5401
"2019-11-14",2.0449
"2019-11-15",2.4417
"2019-11-16",2.7432
"2019-11-17",2.6424
"2019-11-18",2.5104
"2019-11-19",2.0601
"2019-11-20",1.1967
"2019-11-21",0.9714
"2019-11-22",1.8001
"2019-11-23",1.351
"2019-11-24",0.744
"2019-11-25",0.153
"2019-11-26",0.9299
"2019-11-27",2.182
"2019-11-28",1.9678
"2019-11-29",0.6931
"2019-11-30",1.2521
"2019-12-01",1.5183
"2019-12-02",1.1906
"2019-12-03",0.9459
"2019-12-04",0.5261
"2019-12-05",0.7648
"2019-12-06",1.1095
"2019-12-07",0.6408
"2019-12-08",0.2317
"2019-12-09",1.1061
"2019-12-10",1.4269
"2019-12-11",2.5049
"2019-12-12",1.3941
"2019-12-13",1.5524
"2019-12-14",1.8533
"2019-12-15",2.0175
"2019-12-16",1.6166
"2019-12-17",1.5861
"2019-12-18",2.6345
"2019-12-19",2.7104
"2019-12-20",2.1329
"2019-12-21",1.4216
"2019-12-22",2.0357
"2019-12-23",1.1732
"2019-12-24",1.1299
"2019-12-25",1.767
"2019-12-26",0.6725
"2019-12-27",0.334
"2019-12-28",0.4825
"2019-12-29",1.377
"2019-12-30",2.5268
"2019-12-31",2.4491
"2020-01-01",2.3535
"2020-01-02",2.872
"2020-01-03",2.9583
"2020-01-04",2.8022
"2020-01-05",1.7945
"2020-01-06",1.4273
"2020-01-07",2.5788
"2020-01-08",2.1885
"2020-01-09",2.1622
"2020-01-10",1.3338
"2020-01-11",0.6302
"2020-01-12",0.214
"2020-01-13",0.4516
"2020-01-14",1.5993
"2020-01-15",2.3311
"2020-01-16",1.7924
"2020-01-17",0.6427
"2020-01-18",0.6915
"2020-01-19",0.955
"2020-01-20",1.2775
"2020-01-21",1.0683
"2020-01-22",1.1106
"2020-01-23",1.4731
"2020-01-24",1.3428
"2020-01-25",2.0764
"2020-01-26",2.1064
"2020-01-27",2.0605
"2020-01-28",1.3729
"2020-01-29",1.3533
"2020-01-30",0.794
"2020-01-31",0.6495
"2020-02-01",0.8145
"2020-02-02",0.2297
"2020-02-03",1.5782
"2020-02-04",2.1931
"2020-02-05",2.0589
"2020-02-06",2.355
"2020-02-07",2.5911
"2020-02-08",3.1113
"2020-02-09",2.3581
"2020-02-10",1.7785
"2020-02-11",1.0997
"2020-02-12",1.3833
"2020-02-13",2.4832
"2020-02-14",3.4613
"2020-02-15",3.5242
"2020-02-16",2.5414
"2020-02-17",2.4896
"2020-02-18",2.4756
"2020-02-19",1.9233
